Image,Percent green,Non_Leg_p,Legume_p,Kernza_P,Non Leg,Legume,Kernza,Non_Leg_cm,Legume_cm,Kernza_cm,Op,Type
image4,24.47802104,15.39020739,0,84.60979261,0.037672182,0,0.207108028,94.18045509,0,517.770071,AD,IWGb
image5,35.52390767,1.484332301,0,98.5156677,0.005272928,0,0.349966148,13.18232091,0,874.9153709,AD,IWGb
image6,23.00569801,33.62705406,0,66.37294594,0.077361385,0,0.152695595,193.4034626,0,381.7389875,AD,IWGb
image7,15.01603847,0,0,100,0,0,0.150160385,0,0,375.4009617,AD,IWGb
image8,17.3573299,66.71897564,0,33.28102436,0.115806327,0,0.057766972,289.5158176,0,144.4174298,AD,IWGb
image9,17.10491531,9.57200694,0,90.42799306,0.016372837,0,0.154676316,40.93209202,0,386.6907908,AD,IWGb
image10,22.46330111,12.21781088,0.521633292,87.26055583,0.027445236,0.001171761,0.196016014,68.61309117,2.929401426,490.0400352,AD,IWGb
image11,20.90971868,7.138515839,0,92.86148416,0.014926436,0,0.194170751,37.3160895,0,485.4268775,AD,IWGb
image12,13.93003404,17.61779538,0,82.38220462,0.024541649,0,0.114758691,61.35412231,0,286.8967286,AD,IWGb
image14,11.23946806,33.26842946,0,66.73157054,0.037391945,0,0.075002736,93.47986257,0,187.5068389,AD,IWGb
image15,20.89746724,35.60755194,0,64.39244806,0.074410765,0,0.134563907,186.0269125,0,336.4097685,AD,IWGb
image16,9.56752924,28.05176091,0,71.94823909,0.026838604,0,0.068836688,67.09651069,0,172.0917203,AD,IWGb
image17,24.53183521,35.23755269,0,64.76244731,0.086444184,0,0.158874168,216.1104589,0,397.1854212,AD,IWGb
